id,source,type,title,text,url,date,pub_date,fetched,vader_compound,vader_label,vader_pos,vader_neg,vader_neu,topics,stance
ac05241f6ebb,The Verge AI,news,OpenAI may announce a ChatGPT smart speaker this year,"OpenAI's first device is set to be a smart speaker that lets you talk with ChatGPT, according to a report from Bloomberg. The device apparently won't have a screen, but will use a camera and additional sensors to ""understand"" your environment. The report comes just days after Apple filed a lawsuit against OpenAI that accused [&#8230;]",https://www.theverge.com/ai-artificial-intelligence/965670/openai-chatgpt-ai-smart-speaker-hardware-device,2026-07-14T21:26:32+00:00,2026-07-14,2026-07-15T12:16:37.592871+00:00,-0.3506,negative,0.053,0.074,0.873,[],neutral/mixed
729bc486f471,The Verge AI,news,Meta accused of using biased AI targeting for mass layoffs,"A group of 26 former Meta employees is suing the company over claims that it used AI tools to unfairly target workers on leave with layoffs, as reported earlier by Reuters. In the lawsuit, the employees allege Meta determined which workers to dismiss based on performance data collected by a ""constellation"" of internal AI tools, [&#8230;]",https://www.theverge.com/tech/965486/meta-lawsuit-former-employees-ai-layoffs,2026-07-14T17:18:11+00:00,2026-07-14,2026-07-15T12:16:37.593006+00:00,-0.6249,negative,0.033,0.132,0.834,[],neutral/mixed
87a252767631,The Verge AI,news,Sam Altman didn’t need another lawsuit,"OpenAI has spent the better part of the year involved in lawsuit after lawsuit, including one from the world's richest man. But last Friday, the company was hit with one of the highest-profile legal actions yet - from Apple. OpenAI's expensive hardware bet is what's on the line. Apple's lawsuit against OpenAI, filed in Northern [&#8230;]",https://www.theverge.com/ai-artificial-intelligence/965294/openai-apple-trade-secrets-lawsuit-sam-altman-ipo,2026-07-14T14:01:07+00:00,2026-07-14,2026-07-15T12:16:37.593121+00:00,0.0516,positive,0.087,0.099,0.814,[],neutral/mixed
1a0cc6df9f96,The Verge AI,news,The 6 wildest claims in Apple&#8217;s lawsuit against OpenAI,"When Apple employees interviewed for jobs at OpenAI, the AI startup's hardware head allegedly asked them to show up with something unusual: components they were working on and unreleased product samples. That's according to a blockbuster lawsuit filed by Apple, which accuses OpenAI of stealing confidential documents, spying on hardware prototypes, and tricking one of [&#8230;]",https://www.theverge.com/tech/964843/apple-openai-lawsuit-wildest-claims,2026-07-13T17:00:00+00:00,2026-07-13,2026-07-15T12:16:37.593325+00:00,-0.5994,negative,0.068,0.134,0.798,[],neutral/mixed
3b5a63d55d86,TechCrunch,news,OpenAI pushes back on Apple trade secret lawsuit,"OpenAI has issued another statement on the lawsuit, this time suggesting it lacks merit.",https://techcrunch.com/2026/07/14/openai-pushes-back-on-apple-trade-secret-lawsuit/,2026-07-14T22:07:42+00:00,2026-07-14,2026-07-15T12:16:38.757712+00:00,0.0,neutral,0.109,0.148,0.742,[],neutral/mixed
c604b203eb8e,TechCrunch,news,Anthropic’s newest ad is creeping people out,Anthropic has consistently attempted to depict itself as the ethical foil to other AI companies. This latest marketing stunt — which leans into criticism of AI as a way to make Anthropic seem aware of the responsibility it carries — would appear to be more of the same.,https://techcrunch.com/2026/07/14/anthropics-newest-ad-is-creeping-people-out/,2026-07-14T19:41:27+00:00,2026-07-14,2026-07-15T12:16:38.757862+00:00,0.1027,positive,0.056,0.049,0.895,[],neutral/mixed
46faa28596ea,TechCrunch,news,Google faces another AI training lawsuit from major publishers,"Hachette, Cengage, Elsevier, and other publishers allege that Google trained its AI on copyrighted works without the necessary permissions.",https://techcrunch.com/2026/07/14/google-faces-another-ai-training-lawsuit-from-major-publishers/,2026-07-14T18:33:31+00:00,2026-07-14,2026-07-15T12:16:38.757940+00:00,-0.2263,negative,0.0,0.066,0.934,[],neutral/mixed
5531c5f6b4f6,TechCrunch,news,DeepMind CEO calls for an independent standards body to regulate frontier AI,"DeepMind CEO Demis Hassabis is proposing an AI ""standards body"" modeled after FINRA, to test frontier models and develop best practices for their release.",https://techcrunch.com/2026/07/14/deepmind-ceo-calls-for-an-independent-standards-body-to-regulate-frontier-ai/,2026-07-14T17:45:55+00:00,2026-07-14,2026-07-15T12:16:38.757966+00:00,0.6369,positive,0.107,0.0,0.893,[],neutral/mixed
1f25b396a659,Ars Technica Tech Policy,news,"Lawsuit claims Meta's layoff decisions were made by AI, not humans",Meta denies using AI to terminate workers with disabilities and medical problems.,https://arstechnica.com/tech-policy/2026/07/lawsuit-claims-metas-layoff-decisions-were-made-by-ai-not-humans/,2026-07-14T20:05:53+00:00,2026-07-14,2026-07-15T12:16:45.777782+00:00,-0.3111,negative,0.087,0.171,0.743,['healthcare'],neutral/mixed
672e388524e2,arXiv,academic,Vertical Standardisation for High-Risk AI Systems under the EU AI Act: A Domain-Specific Framework for Algorithmic Hiring,"According to the recent European legislation, high-risk AI systems will have to adapt in order to comply with requirements related to specific areas, like risk management, data quality and governance, logging and traceability, technical documentation, transparency, human oversight, and accuracy, as outlined in the European Artificial Intelligence (AI) Act. As the standardisation process for AI is expected to remain iterative and, so far, there are no European standards on AI fully covering the challenges of algorithmic hiring, we propose specific standardisation-oriented recommendations related to the relevant AI areas specified by the European Commission. For each of these areas, we set the context by describing the requirements that AI systems in high-risk domains, and especially in recruitment, should fulfil, as well as the activities that should be carried out to ensure their appropriate use and desired performance, in line with the requirements deriving from the AI Act. Unlike existing horizontal approaches to AI governance and standardisation, this paper contributes a vertical, domain-specific framework for algorithmic hiring, and especially ranking-based recruitment systems, by mapping the requirements of the AI Act to concrete standardisation recommendations, focusing on lifecycle discrimination risks, fairness-aware data governance, explainability, human oversight, and post-deployment monitoring in recruitment systems. Even though our recommendations were informed by the outcomes of the European project FINDHR, they are not tied to the project's technical artefacts and could be implemented using alternative methods, tools, or governance mechanisms.",https://arxiv.org/abs/2607.12588v1,2026-07-14T10:00:27+00:00,2026-07-14,2026-07-15T12:16:49.586456+00:00,0.7624,positive,0.053,0.024,0.922,"['eu_ai_act', 'bias_fairness', 'transparency']",neutral/mixed
