id,source,type,title,text,url,date,pub_date,fetched,vader_compound,vader_label,vader_pos,vader_neg,vader_neu,topics,stance
3a86bbd7f634,The Verge AI,news,OpenAI subpoenaed by Alabama AG over Hugging Face hack,Alabama's attorney general issued a subpoena to OpenAI on Monday as part of an investigation into how one of its AI agents escaped a supposedly secure testing environment and autonomously hacked another company last month. The investigation seeks to determine whether OpenAI's safety practices violated state consumer protection laws and pose a risk to Alabama [&#8230;],https://www.theverge.com/ai-artificial-intelligence/984239/alabama-attorney-general-subpoena-openai-hugging-face-hack,2026-08-25T09:15:03+00:00,2026-08-25,2026-08-25T11:28:26.622075+00:00,-0.0516,negative,0.106,0.109,0.785,[],neutral/mixed
32cda19d8db8,TechCrunch,news,"Situational Awareness, star AI hedge fund that nearly imploded, now being probed by the SEC","The AI hedge fund went from ""the talk of Wall Street"" to ""subject of federal subpoenas"" faster than you can say ""diversify your portfolio.""",https://techcrunch.com/2026/08/24/situational-awareness-star-ai-hedge-fund-that-nearly-imploded-now-being-probed-by-the-sec/,2026-08-25T00:23:12+00:00,2026-08-25,2026-08-25T11:28:27.807838+00:00,0.0,neutral,0.0,0.0,1.0,[],neutral/mixed
a34ef28c4aef,TechCrunch,news,Instinct’s powerful AI assistant is raising privacy and security concerns,"Early testers are raving about what Instinct can do, but some say the AI assistant’s sweeping access, broad terms and ability to act on users’ behalf come with uncomfortable trade-offs.",https://techcrunch.com/2026/08/24/instincts-powerful-ai-assistant-is-raising-privacy-and-security-concerns/,2026-08-24T18:03:55+00:00,2026-08-24,2026-08-25T11:28:27.808062+00:00,0.2846,positive,0.143,0.074,0.783,['privacy'],neutral/mixed
