id,source,type,title,text,url,date,fetched,vader_compound,vader_label,vader_pos,vader_neg,vader_neu,topics,stance
6fccb4ebfca3,POLITICO Tech,news,AI talks draw backlash from Mass. state lawmakers,The letter is the latest signal of Democratic unease about working with Republicans on federal AI legislation to override state rules on the technology.,https://www.politico.com/news/2026/05/01/ai-backlash-massachusetts-lawmakers-00903440,"Fri, 01 May 2026 18:11:04 EST",2026-05-17T09:54:17.007001,-0.4019,negative,0.0,0.08,0.92,[],neutral/mixed
dfec5238d91f,Future of Life,news,Future of Life Institute Launches Multimillion Dollar Nationwide AI Regulation Campaign,The Protect What’s Human campaign will push for commonsense AI safety rules at federal and state level,https://futureoflife.org/press-release/fli-launches-multimillion-dollar-nationwide-ai-regulation-campaign/,"Mon, 09 Feb 2026 22:12:40 +0000",2026-05-17T09:54:20.788782,0.6597,positive,0.172,0.0,0.828,[],neutral/mixed
24baefe110d8,Future of Life,news,Context and Agenda for the 2025 AI Action Summit,The AI Action Summit will take place in Paris from 10-11 February 2025. Here we list the agenda and key deliverables.,https://futureoflife.org/ai-policy/context-and-agenda-2025-ai-action-summit/,"Fri, 31 Jan 2025 19:59:10 +0000",2026-05-17T09:54:20.788871,0.0,neutral,0.0,0.0,1.0,[],neutral/mixed
2ee4830f2465,arXiv,academic,Driving Everywhere with Large Language Model Policy Adaptation,"Adapting driving behavior to new environments, customs, and laws is a long-standing problem in autonomous driving, precluding the widespread deployment of autonomous vehicles (AVs). In this paper, we present LLaDA, a simple yet powerful tool that enables human drivers and autonomous vehicles alike to drive everywhere by adapting their tasks and motion plans to traffic rules in new locations. LLaDA achieves this by leveraging the impressive zero-shot generalizability of large language models (LLMs) in interpreting the traffic rules in the local driver handbook. Through an extensive user study, we show that LLaDA's instructions are useful in disambiguating in-the-wild unexpected situations. We also demonstrate LLaDA's ability to adapt AV motion planning policies in real-world datasets; LLaDA outperforms baseline planning approaches on all our metrics. Please check our website for more details: https://boyiliee.github.io/llada.",https://arxiv.org/abs/2402.05932v2,2024-02-08T18:59:03Z,2026-05-17T09:55:42.539158,0.872,positive,0.091,0.018,0.891,[],neutral/mixed
