id,source,type,title,text,url,date,pub_date,fetched,vader_compound,vader_label,vader_pos,vader_neg,vader_neu,topics,stance
7d4f2561bb64,MIT Tech Review,news,The Download: the future of chipmaking and Anthropic’s government clash,"This is today&#8217;s edition of The Download, our weekday newsletter that provides a daily dose of what&#8217;s going on in the world of technology. The $400 million machine powering the future of chipmaking It’s a bit of a schlep to get to the top of ASML’s newest machine. It’s about the size of a double-decker&#8230;",https://www.technologyreview.com/2026/06/23/1139483/the-download-chipmaking-future-asml-ai-anthropic-government-clash/,2026-06-23T12:10:00+00:00,2026-06-23,2026-06-23T13:45:04.553038+00:00,0.2023,positive,0.027,0.0,0.973,[],neutral/mixed
e5321e5c15e4,MIT Tech Review,news,Three things to watch amid Anthropic’s latest feud with the government,"This story originally appeared in The Algorithm, our weekly newsletter on AI. To get stories like this in your inbox first, sign up here. For those of you enjoying your summer unaware of Anthropic’s latest feud with the US government, here’s a recap: In April the company said it had built an AI model called Mythos&#8230;",https://www.technologyreview.com/2026/06/22/1139424/three-things-to-watch-amid-anthropics-latest-feud-with-the-government/,2026-06-22T18:00:00+00:00,2026-06-22,2026-06-23T13:45:04.553182+00:00,0.0772,positive,0.079,0.089,0.832,[],neutral/mixed
da4313bf96e2,TechCrunch,news,Anthropic says Claude may want to see your ID,"Claude's chatbot may ask to verify your age and identity ""in certain circumstances,"" such as with a passport or driver's license, according to a privacy policy change.",https://techcrunch.com/2026/06/22/anthropic-says-claude-may-want-to-see-your-id/,2026-06-22T18:05:13+00:00,2026-06-22,2026-06-23T13:45:05.111568+00:00,0.34,positive,0.091,0.0,0.909,['privacy'],neutral/mixed
