id,source,type,title,text,url,date,pub_date,fetched,vader_compound,vader_label,vader_pos,vader_neg,vader_neu,topics,stance
4a554e6b3bf9,The Verge AI,news,"The future of AI regulation is courting the strangest, most anxious bedfellows","Hello and welcome to Regulator, a newsletter for Verge subscribers about tech politics, tech influence, and tech shenanigans in Washington, DC. (If you're not a subscriber, you can get on board here.) We're back after a two-week hiatus, during most of which I was gallivanting in the Netherlands for a family wedding, and a trip [&#8230;]",https://www.theverge.com/column/947838/washington-ai-network-honors-2026-midterms,2026-06-10T17:38:00+00:00,2026-06-10,2026-06-11T14:40:08.348345+00:00,0.1796,positive,0.042,0.032,0.926,[],neutral/mixed
5fa3405179d5,MIT Tech Review,news,Google DeepMind is worried about what happens when millions of agents start to interact,"Google DeepMind is funding research into the potential dangers of situations where millions of different AI agents interact with each other online. According to Rohin Shah, who directs the company’s AGI safety and alignment research, the mass-market arrival of agents that can carry out tasks without human oversight and follow instructions given to them by other&#8230;",https://www.technologyreview.com/2026/06/11/1138794/google-deepmind-is-worried-about-what-happens-when-millions-of-agents-start-to-interact/,2026-06-11T11:00:45+00:00,2026-06-11,2026-06-11T14:40:08.980250+00:00,-0.3818,negative,0.037,0.072,0.891,[],neutral/mixed
6de145b73128,TechCrunch,news,"xAI fired an engineer who raised alarms about Grok safety, new lawsuit claims","A former xAI engineer is suing the company and SpaceX, alleging he was fired for raising AI safety concerns about Grok days before SpaceX's historic IPO.",https://techcrunch.com/2026/06/10/xai-fired-an-engineer-who-raised-alarms-about-grok-safety-new-lawsuit-claims/,2026-06-10T22:31:19+00:00,2026-06-10,2026-06-11T14:40:09.549406+00:00,-0.7717,negative,0.11,0.261,0.629,[],neutral/mixed
bd9dc7907087,EFF DeepLinks,news,Congress Just Rushed Through a Disastrous Copyright Office Overhaul,"<div class=""field field--name-body field--type-text-with-summary field--label-hidden""><div class=""field__items""><div class=""field__item even""><p><span>In a voice vote earlier this week, the House of Representatives passed </span><a href=""https://www.congress.gov/bill/119th-congress/house-bill/6028/text""><span>H.R. 6028</span></a><span>, the “Legislative Branch Agencies Clarification Act.” The legislation is presented as a technical reorganization of some government agencies, but it’s much more than that. </span></p>
<p><span>H.R. 6028 would fundamentally change the U.S. Copyright Office, and not in a good way. The bill removes the Library of Congress’ current supervisory role over the Copyright Office, transfers several powers directly to the Register of Copyrights, and makes the Register a presidential appointee, confirmed by the Senate. </span></p>
<p><span>These changes would make an office that’s already hugely influential in copyright and tech policy much more political. EFF first explained why that’s a terrible idea when it came up </span><a href=""https://www.eff.org/deeplinks/2017/03/lets-make-copyright-office-less-political-not-more""><span>nearly a decade ago</span></a><span>. This bill, like the older one, weakens the few public-interest checks and balances that do exist.  We hope the Senate promptly rejects this bill. </span></p>
<h3><b>The Copyright Office Doesn’t Need More Politics—Or More Power</b></h3>
<p><span>The Copyright Office's main responsibilities are administrative and advisory. It registers copyrights, maintains records, grows the Library of Congress’s collections, and provides expertise to Congress on copyright law. But over the past two decades, the Office has also become increasingly influential in copyright policy debates that affect free expression, libraries, educators, competition—and everyday internet users. Unfortunately, it </span><a href=""https://publicknowledge.org/wp-content/uploads/2021/11/Final_Captured_Systemic_Bias_at_the_US_Copyright_Office.pdf""><span>has not been a neutral advocate</span></a><span>. The office’s recent report on the role of AI severely </span><a href=""https://www.eff.org/deeplinks/2025/05/us-copyright-offices-draft-report-ai-training-errs-fair-use""><span>bungled the issue of fair use</span></a><span>, prioritizing private licensing market “solutions” over user rights. </span></p>
<p><span>Going further back, the Copyright Office </span><a href=""https://www.copyright.gov/docs/regstat111611.html""><span>supported</span></a><span> one of the most infamous anti-internet proposals of all time—the Stop Online Piracy Act (SOPA), a disastrous internet censorship proposal that sparked one of the </span><a href=""https://www.eff.org/deeplinks/2022/01/its-copyright-week-2022-ten-years-later-how-has-sopapipa-shaped-online-copyright""><span>largest online protests</span></a><span> in history. The Office has repeatedly advanced positions that favored large entertainment-industry interests over the public interest.</span></p>
<p><span>The Office also plays a major role in the Digital Millennium Copyright Act (DMCA) Section 1201 rulemaking process, which determines when the public may lawfully bypass digital locks for activities such as security research, repair, preservation, or accessibility. EFF has used this process repeatedly to </span><a href=""https://www.eff.org/cases/2018-dmca-rulemaking""><span>mitigate some of the worst harms of the DMCA</span></a><span>. H.R. 6028 would move rulemaking authority over 1201 from the Librarian of Congress to the Register of Copyrights, further consolidating power within the Copyright Office itself.</span></p>
<p><span>The bill also makes the Register of Copyrights a presidential appointee confirmed by the Senate. Each administration will be pressured to pick nominees aligned with their own policy preferences, and the powerful copyright owning industries will invest even more heavily in lobbying to get their way, and influence the selection. This position should be focused on administrative ability and actual expertise, not lobbying and politics. </span></p>
<h3><b>The Copyright Office Should Stay Connected To The Library of Congress</b></h3>
<p><span>H.R. 6028 would do more than change who appoints the Register of Copyrights. It would sever the Copyright Office from Library of Congress supervision and transfer many Librarian powers directly to the Register. </span></p>
<p><span>The supervisory relationship exists for good reason, as the nation’s libraries have </span><a href=""https://www.librarycopyrightalliance.org/wp-content/uploads/2018/09/Lessons-From-History.pdf""><span>pointed out</span></a><span> for years. The Library, while far from perfect, at least has the mission of preserving and providing access to knowledge. That </span><i><span>should</span></i><span> be an important public-interest counterweight in copyright debates. Congress has not explained how weakening the ties between the Library and the Copyright Office would serve the public better, or even seriously inquired about it. </span></p>
<h3><b>This Bill Was Rushed Through</b></h3>
<p><span>Back in March, EFF joined Public Knowledge, the Center for Democracy and Technology, library organizations and tech groups, </span><a href=""https://recreatecoalition.org/reports/recreate-raises-concerns-with-h-r-6028/""><span>urging Congress </span><i><span>not</span></i><span> to fast-track this legislation</span></a><span>. We told them changes to the Copyright Office will have major consequences for the “speech rights, educational opportunities, and creative freedoms of all Americans.” </span></p>
<p><span>Yet Congress moved forward without any hearings on the bill, and without meaningful examination. H.R. 6028 creates a years-long separation of the Copyright Office from the Library of Congress, transfers significant legal authority, and restructures the appointment process for the nation’s top copyright official. Changes like that deserve hearings, debate, and public scrutiny. H.R. 6028 got none of that. </span></p>
<h3><b>The Senate Should Stop This Bill</b></h3>
<p><span>Copyright law exists to serve the public and <a href=""https://constitution.congress.gov/browse/essay/artI-S8-C8-1/ALDE_00013060/"">“promote the progress”</a> of science and learning. The institutions that administer copyright law should do the same. </span></p>
<p><span>H.R. 6028 would move the Copyright Office further away from that goal. Congress should be strengthening public-interest oversight of copyright policymaking, not looking for ways to concentrate more authority in a single presidentially appointed official. </span></p>
<p><span>The Senate should reject H.R. 6028. The Copyright Office should serve the public—not presidential administrations, and not industry lobbyists. </span></p>

</div></div></div>",https://www.eff.org/deeplinks/2026/06/congress-just-rushed-through-disastrous-copyright-office-overhaul,2026-06-10T22:54:52+00:00,2026-06-10,2026-06-11T14:40:13.346369+00:00,-0.7946,negative,0.072,0.092,0.837,"['us_legislation', 'copyright_ip']",neutral/mixed
c679584b95c6,EFF DeepLinks,news,🔊 Mass Surveillance for… Loud Music? | EFFector 38.11,"<div class=""field field--name-body field--type-text-with-summary field--label-hidden""><div class=""field__items""><div class=""field__item even""><p>Across the country, surveillance companies have spun a vast web of tens of thousands of license plate cameras. The people selling this tech want you to believe that it's for your safety, but how are authorities really using automated license plate readers (ALPR)? In <a href=""https://www.eff.org/effector/38/11"">this week's EFFector newsletter</a>, we're looking at how these powerful surveillance networks have become universal people-trackers used for noise complaints and other low-level investigations.</p>
<p class=""take-action""><a href=""https://www.eff.org/effector/"">JOIN OUR NEWSLETTER</a></p>
<p>For over 35 years, <a href=""https://eff.org/effector"">EFFector</a> has been your guide to understanding the intersection of technology, civil liberties, and the law. This week's issue covers <a href=""https://www.eff.org/deeplinks/2026/06/victory-meta-strips-facial-recognition-code-smart-glasses-app-after-public-outcry?utm_source=effector"">a victory for facial privacy</a>, <a href=""https://www.eff.org/deeplinks/2026/06/eff-testifies-congress-protecting-americans-rights-government-ai?utm_source=effector"">EFF's testimony to Congress</a> about AI and surveillance, and troubling <a href=""https://www.eff.org/deeplinks/2026/05/more-license-plate-reader-mission-creep-school-residency-verification-background?utm_source=effector"">new examples of ALPR mission creep</a>.<br /><br />Prefer to listen in? EFFector is now available on all major podcast platforms. This week, we're chatting with EFF Associate Director of State Affairs Rindala Alajaji about what she uncovered about police use of ALPR. And don't miss the EFFector news quiz. You can find the episode and subscribe on <a href=""https://effector.simplecast.com/"">your podcast platform of choice</a>:</p>
<div class=""mytube"">
<div class=""mytube"" style=""width: 100%px;"">
  <div class=""mytubetrigger"" tabindex=""0"">

    <img alt=""play"" class=""mytubeplay"" src=""https://www.eff.org/sites/all/modules/custom/mytube/play.png"" />
    <div class=""mytubeembedcode"" hidden=""hidden"">%3Ciframe%20height%3D%22200px%22%20width%3D%22100%25%22%20frameborder%3D%22no%22%20scrolling%3D%22no%22%20seamless%3D%22%22%20src%3D%22https%3A%2F%2Fplayer.simplecast.com%2F733a5637-dec4-4949-8c0f-976a5222c48a%3Fdark%3Dfalse%22%20allow%3D%22autoplay%22%3E%3C%2Fiframe%3E</div>
  </div>
  <div class=""mytubetext"">
    <span><a href=""https://www.eff.org/deeplinks/2008/02/embedded-video-and-your-privacy"" rel=""noreferrer"" target=""_blank"">Privacy info.</a></span>
    <span>This embed will serve content from <em><a href=""https://player.simplecast.com/733a5637-dec4-4949-8c0f-976a5222c48a?dark=false"" rel=""nofollow"">simplecast.com</a></em><br /></span>
  </div>
</div>
<div class=""mytubetext""><br /><span></span></div>
</div>
<p><span><i><a href=""https://open.spotify.com/show/6Q48ICplENdQ4ZarUIgfLZ"" rel=""noopener noreferrer"" target=""_blank""><img alt=""Listen on Spotify Podcasts Badge"" height=""48"" src=""https://www.eff.org/files/2021/11/01/spotify-podcast-badge-blk-wht-330x80.png"" width=""198"" /></a> <a href=""https://podcasts.apple.com/us/podcast/effector/id1882562931"" rel=""noopener noreferrer"" target=""_blank""><img alt=""Listen on Apple Podcasts Badge"" height=""47"" src=""https://www.eff.org/files/2021/11/01/applebadge2.png"" width=""195"" /></a> <a href=""https://music.amazon.com/podcasts/83be1062-f511-47b3-bd2b-fc44e831c3ad"" rel=""noopener noreferrer"" target=""_blank""><img height=""47"" src=""https://eff.org/files/styles/kittens_types_wysiwyg_small/public/2024/02/15/us_listenon_amazonmusic_button_charcoal.png?itok=YFXPE4Ii"" width=""195"" /></a> <a href=""https://feeds.eff.org/effector"" rel=""noopener noreferrer"" target=""_blank""><img alt=""Subscribe via RSS badge"" height=""50"" src=""https://www.eff.org/files/2021/11/01/subscriberss.png"" width=""194"" /></a></i></span></p>
<p>Want to stay in the fight for privacy and free speech online? Sign up for <a href=""https://eff.org/effector"">EFF's EFFector newsletter</a> for updates, ways to take action, and new merch drops. You can also fuel the fight against online surveillance when you <a href=""https://eff.org/join"">support EFF today</a>!</p>

</div></div></div>",https://www.eff.org/deeplinks/2026/06/mass-surveillance-loud-music-effector-3811,2026-06-10T17:29:08+00:00,2026-06-10,2026-06-11T14:40:13.347724+00:00,0.5463,positive,0.054,0.032,0.914,"['us_legislation', 'privacy']",neutral/mixed
e4401abcb59d,EFF DeepLinks,news,How and Why to Fight Back Against Social Media Bans,"<div class=""field field--name-body field--type-text-with-summary field--label-hidden""><div class=""field__items""><div class=""field__item even""><p><span>Several U.S. states are pushing to ban young people from social media entirely. This marks the latest wave of censorship bills masquerading as “children’s online safety” measures, with states like <a href=""https://malegislature.gov/Bills/194/S2581"">Massachusetts</a>, <a href=""https://legislature.idaho.gov/sessioninfo/2026/legislation/H0542/"">Idaho</a>, <a href=""https://www.revisor.mn.gov/bills/94/2026/0/HF/4138/"">Minnesota</a>, <a href=""https://ncleg.gov/BillLookup/2025/H301"">North Carolina</a>, <a href=""https://www.scstatehouse.gov/sess126_2025-2026/bills/4591.htm"">South Carolina</a>, <a href=""https://ilga.gov/Legislation/BillStatus?DocNum=5511&amp;GAID=18&amp;DocTypeID=HB&amp;LegId=167486&amp;SessionID=114"">Illinois</a>, and EFF’s home state of <a href=""https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB1709"">California</a> leading the charge.</span></p>
<p><span>Just a few years ago, lawmakers supporting age-gating laws </span><a href=""https://theintercept.com/2024/08/16/project-2025-russ-vought-porn-ban/""><span>insisted</span></a><span> their efforts were narrowly targeted at limiting young people’s access to adult content. At the time, we warned that they </span><a href=""https://www.eff.org/pages/impact-age-verification-measures-goes-beyond-porn-sites#main-content""><span>would not stop there</span></a><span>: once the government established the authority and built the infrastructure to collect and “verify” massive troves of user data, it would inevitably sweep </span><a href=""https://www.them.us/story/kosa-senator-blackburn-censor-trans-content""><span>broader and broader categories</span></a><span> of lawful speech into this <a href=""https://www.eff.org/pages/age-verification-systems-are-surveillance-systems#main-content"">mass surveillance</a> and <a href=""https://www.eff.org/pages/age-gates-threaten-expressive-rights-every-internet-user#main-content"">censorship</a> system. </span></p>
<p><span>Unfortunately, our predictions came true. As legislators across the country advance proposals that would block all young people from accessing the “<a href=""https://www.supremecourt.gov/opinions/16pdf/15-1194_08l1.pdf"">modern public square</a>,” the Overton window has </span><a href=""https://www.eff.org/pages/speaking-freely-dr-jean-linis-dinco""><span>shifted dramatically</span></a><span> towards mass censorship—and the speed of this shift should concern all of us. </span></p>
<p><span>This primer breaks down this dangerous wave of social media bans: how they work (and why they don’t), who they harm, and how we can fight back. </span></p>
<h3><b>How to Spot a Social Media Ban</b></h3>
<p><span>The details of these bills vary from state to state. Some (like </span><a href=""https://www.eff.org/deeplinks/2026/04/act-now-stop-californias-paternalistic-and-privacy-destroying-social-media-ban""><span>California’s AB 1709</span></a><span>) are a flat-out social media ban for all young people under a certain age, while other states (like South Carolina and Minnesota) allow access to young users who hand over even more data to show </span><a href=""https://www.eff.org/deeplinks/2023/05/law-should-not-require-parental-consent-all-minors-access-social-media""><span>verifiable parental consent</span></a><span>. Many bills regulate certain social media features, too, including by setting default privacy settings, time limits, or notification preferences for all accounts that fail the age-gate.</span></p>
<p><span>As for the age-gating mechanism itself, most proposals fall into two broad categories: </span><i><span>age verification</span></i><span> bills and </span><i><span>behavioral age estimation</span></i><span> bills. </span></p>
<p><strong><i>Age Verification</i> <i>Bills</i></strong><span> require online services to collect highly sensitive data, including government ID and biometric information, from all users before either restricting or allowing them access. </span></p>
<p><span>For example, take California’s social media ban (</span><a href=""https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB1709""><span>AB 1709</span></a><span>). Starting in January 2027, operating systems will be required to collect enough information from users to sort them into age groups, or “brackets.” Under AB 1709, social media apps would then use that age bracket information to completely block anyone under 16, while supposedly letting everyone else through. By contrast, Florida’s law (</span><a href=""https://www.flsenate.gov/Session/Bill/2024/3""><span>HB 3</span></a><span>) takes a more aggressive route by forcing platforms to verify users' identities directly, usually by contracting with </span><a href=""https://web.archive.org/web/20260425010405/https://tboteproject.com/globalfindings/""><span>private third-party companies</span></a><span> to perform verification services.</span></p>
<p><strong><i>Behavioral Age Estimation Bills</i></strong><span>, on the other hand, are a more recent innovation of states like Minnesota (</span><a href=""https://www.revisor.mn.gov/bills/94/2026/0/HF/4138/versions/5/""><span>HF 1438</span></a><span>) and South Carolina (</span><a href=""https://www.scstatehouse.gov/sess126_2025-2026/bills/4591.htm""><span>H 4591</span></a><span>). These bills require platforms to estimate the ages of users based largely on data that they already collect, including self-attested age, behavioral information, and account history and activity. In practice, these bills enable tech companies to use algorithms and/or AI to analyze our online behavior and estimate age based on that. </span></p>
<p><span>Proponents of behavioral age estimation bills claim that their proposals avoid the massive security risks that come with mandatory age verification bills. However, much of the data that social media platforms collect from us “in the ordinary course of operation” is collected in order to serve us targeted </span><a href=""https://www.eff.org/wp/behind-the-one-way-mirror""><span>behavioral ads</span></a><span>. If we force platforms to use this imperfect data to make more important judgments about who can access their services, we risk entrenching those insidious data collection practices. Surely we don’t want to give social media companies more reasons to justify and sustain their reliance on this exploitative business model.</span></p>
<p><span>If you want to dig into the nuance here, our </span><a href=""https://www.eff.org/pages/age-verification-estimation-assurance-oh-my-guide-terminology#main-content""><span>terminology guide</span></a><span> sheds more light on the technical differences between age verification and age estimation bills. </span></p>
<p><span>Overall, it’s a lose-lose scenario: either platforms collect new forms of our most sensitive and immutable data, or they unleash their AI and algorithms on our existing behavioral data to make creepy guesses about who we are and what we deserve to see. No matter which age-gating method your state chooses to execute its social media ban, there will be lots of error at the margins—and lots of users who will be blocked or chilled from access to lawful online speech.</span></p>
<h3><b>Why Social Media Bans Are So Dangerous</b></h3>
<p><span>Social media bans are unconstitutional, discriminatory, and deeply misguided. They reinforce existing </span><a href=""https://www.eff.org/pages/speaking-freely-dr-jean-linis-dinco""><span>structures of oppression</span></a><span>, and t</span><span>hey are </span><a href=""https://www.eff.org/deeplinks/2024/03/thousands-young-people-told-us-why-kids-online-safety-act-will-be-harmful-minors""><span>broadly</span></a> <a href=""https://www.teenvogue.com/story/australian-teens-react-social-media-ban""><span>unsupported</span></a><span> by young people, whose voices are conspicuously absent from this conversation. They undermine parental decision-making and replace tailored family-level solutions with a one-size-fits-all band-aid. And, in the </span><a href=""https://techcrunch.com/2026/04/23/social-media-ban-children-countries-list/""><span>places</span></a><span> we have seen social media bans <a href=""https://www.eff.org/deeplinks/2026/06/internet-age-gates-are-growing-global-threat"">go into effect</a>, early reports show that they </span><a href=""https://www.techspot.com/news/112049-australia-social-media-ban-kids-mostly-isnt-working.html""><span>don't even</span></a> <a href=""https://bfi.uchicago.edu/wp-content/uploads/2026/04/BFI_WP_2026-57.pdf""><span>work</span></a><span>. </span></p>
<p><span>For example, in Australia, where a social media ban has been in effect since late 2025, a majority of young people </span><a href=""https://mollyrosefoundation.org/more-than-60-of-australian-children-still-using-social-media-despite-ban-for-under-16s-research-shows/""><span>can still access</span></a><span> social media, those who can’t have </span><a href=""https://www.theguardian.com/australia-news/2026/may/19/australias-social-media-ban-preventing-teens-from-accessing-the-news-research-finds""><span>lost their access to the news</span></a><span>, and crisis helplines are reporting </span><a href=""https://thewest.com.au/politics/federal-politics/distressed-teens-turn-to-kids-helpline-following-social-media-ban-saying-theyve-lost-support-networks-c-21237507""><span>skyrocketing numbers of calls</span></a><span> from youth left stranded without online community or resources.</span></p>
<p><span>We could go on and on about all of the inherent harms here, but we’ll try to keep this short as we walk through some of the major issues.</span></p>
<h4><b>1. Security Risks and Privacy Harms</b></h4>
<p><span>In order to ban </span><i><span>some</span></i><span> users, social media platforms first must confirm the ages of </span><i><span>all</span></i><span> users, regardless of age. Bans thus incentivize companies to force users of all ages to hand over </span><a href=""https://www.eff.org/deeplinks/2025/12/why-isnt-online-age-verification-just-showing-your-id-person""><span>government IDs</span></a><span>, </span><a href=""https://www.eff.org/deeplinks/2025/01/face-scans-estimate-our-age-creepy-af-and-harmful""><span>face scans</span></a><span>, and other sensitive information. When parental consent is required, companies must collect </span><a href=""https://www.eff.org/deeplinks/2023/05/law-should-not-require-parental-consent-all-minors-access-social-media""><span>even more</span></a><span> verification data and often create explicit links between child and parent accounts—further destroying users’ anonymity. </span></p>
<p><span>Both of these databases create massive data ""honeypots"" that invite identity theft and permanent </span><a href=""https://www.eff.org/pages/age-verification-systems-are-surveillance-systems#main-content""><span>surveillance</span></a><span>. We’ve already seen</span><a href=""https://www.eff.org/deeplinks/2024/06/hack-age-verification-company-shows-privacy-danger-social-media-laws""> <span>repeated</span></a><a href=""https://www.404media.co/women-dating-safety-app-tea-breached-users-ids-posted-to-4chan/""> <span>data</span></a><a href=""https://www.404media.co/the-discord-hack-is-every-users-worst-nightmare/""> <span>breaches</span></a><span> involving age- and identity-verification services. Yet these laws would force both adults and the youth they claim to protect to feed their most sensitive data into this growing surveillance ecosystem. </span></p>
<p><span>If we don’t trust tech companies with our private information now, we shouldn't pass laws that force us to give them even more of it. </span></p>
<h4><b>2. Disproportionate Harm to Vulnerable Communities</b></h4>
<p><span>Age-verification technology is deeply flawed and prone to discrimination. These systems frequently misidentify or lock out </span><a href=""https://www.theguardian.com/news/2025/sep/19/how-accurate-are-age-checks-for-australias-under-16s-social-media-ban-what-trial-data-reveals""><span>people of color</span></a><span>, </span><a href=""https://www.teenvogue.com/story/age-verification-technology-disabled-people""><span>people with disabilities</span></a><span>, and </span><a href=""https://dl.acm.org/doi/10.1145/3274357""><span>trans or gender-nonconforming</span></a><span> individuals whose IDs may not match their appearance. </span></p>
<p><span>Where these bills require parental consent, they impose disproportionate access barriers on low-income, non-traditional, and immigrant families. These sorts of families are more likely to share a single family device or have strong reasons to not want the government to track family associations and ID documents. </span></p>
<p><span>Beyond the technical failures, these bans cut off a vital lifeline. For LGBTQ+ youth, foster kids, and those stuck in unsupportive home environments, social media is often the only place to find community, explore their identity, or access life-saving resources. Forcibly removing young people isolates those who need connection the most, while creating massive new barriers for adults. </span></p>
<p><span>You can read a </span><a href=""https://www.eff.org/pages/whos-harmed-age-verification-mandates#main-content""><span>breakdown of the diverse groups vulnerable to these laws here</span></a><span>. </span></p>
<h4><b>3. Based on Shoddy Science</b></h4>
<p><span>The current legislative push to ban young people from social media relies heavily on the idea that</span><a href=""https://www.nature.com/articles/d41586-024-00902-2""> <span>the ""great rewiring"" of the adolescent brain</span></a><span> is a proven fact. </span><a href=""https://www.eff.org/deeplinks/2026/05/science-not-settled-how-weak-evidence-fueling-national-push-ban-social-media-youth""><span>This simply isn’t true</span></a><span>.</span></p>
<p><span>Social science</span><a href=""https://www.techdirt.com/2026/01/21/two-major-studies-125000-kids-the-social-media-panic-doesnt-hold-up/""> <span>indicates</span></a><span> that </span><i><span>moderate</span></i><span> internet use is a net positive for teens’ development, and negative outcomes are usually due to either </span><i><span>lack of access</span></i><span> or </span><i><span>excessive</span></i><span> use. For</span><a href=""https://www.pewresearch.org/journalism/2025/12/03/young-adults-and-the-future-of-news/""> <span>LGBTQ+</span></a><span> and</span><a href=""https://medicalxpress.com/news/2020-07-marginalized-youth-socially-isolated-previous.html""> <span>marginalized youth</span></a><span> in particular, social media offers an essential space to access support they might lack offline. By forcing youth into digital isolation, these bans cut off vital access to</span><a href=""https://www.pewresearch.org/journalism/2025/12/03/young-adults-and-the-future-of-news/""> <span>political news</span></a><span>, community, and</span><a href=""https://journals.sagepub.com/doi/full/10.1089/jwh.2024.0563""> <span>health</span></a><a href=""https://www.woodhullfoundation.org/press-release/report-age-verification-sex-educators/""> <span>resources</span></a><span>. They also completely ignore the </span><a href=""https://www.eff.org/deeplinks/2024/03/thousands-young-people-told-us-why-kids-online-safety-act-will-be-harmful-minors""><span>calls of young people themselves</span></a><span> who favor digital literacy and education over restrictive government control.</span></p>
<p><span>Instead of cutting off these lifelines, we should support measures that arm all youth (and the adults in their lives) with the knowledge they need to navigate online spaces safely.</span></p>
<h4><b>4. Reckless Free Speech Violations for Users of All Ages</b></h4>
<p><span>No matter your age, the First Amendment protects your right to speak and access information. </span></p>
<p><span>Blanket social media bans </span><a href=""https://www.eff.org/pages/age-gates-threaten-expressive-rights-every-internet-user#main-content""><span>immensely and unconstitutionally chill </span></a><span>all users’ exercise of this right. They cut off young people’s access to lawful speech, or ruin their privacy in the home by mandating parental consent and sometimes even parental access to their account activities and settings. They force all users (adults and young people alike) to hand private information over to tech companies before speaking or accessing information on social media platforms, imposing annoying obstacles on lawful online expression and wrongfully blocking some adults outright. </span></p>
<p><span>Critically, these bans destroy our <a href=""https://www.eff.org/issues/anonymity"">right to online anonymity</a>—a cornerstone of our right to free expression that protects whistleblowers, journalists, activists, immigrants, and everyone who has ever used a private browser or account to ask the internet an embarrassing question.</span></p>
<h3><b>How to Fight Back</b></h3>
<p><span>Social media bans weaponize parents’ concerns about children’s safety to justify unprecedented levels of surveillance and censorship. In the process, these laws deny young people their rights, threaten online anonymity for everyone, expose our sensitive personal data to breach and abuse, and replace parental decision-making with state authority. This is a battle over the future of the open, private, and free internet, and we must act now to protect it.<br /></span></p>
<p><span>Here’s how you can help us fight back: Talk to your community (including young people!) about <a href=""https://www.eff.org/pages/whats-stake#main-content"">what’s at stake</a>. If you’re a parent, lean on open conversations and platforms’ existing tools to tailor your child’s experiences instead of handing that power over to the government. And no matter where you live, contact your government representatives and tell them clearly that social media bans are not the answer to kids’ online safety. </span></p>

</div></div></div>",https://www.eff.org/deeplinks/2026/06/how-and-why-fight-back-against-social-media-bans,2026-06-09T22:51:45+00:00,2026-06-09,2026-06-11T14:40:13.348167+00:00,-0.8554,negative,0.052,0.08,0.867,"['bias_fairness', 'privacy', 'healthcare']",pro-regulation
d031c510d705,EFF DeepLinks,news,Tell Congress: Just Say No to NO FAKES,"<div class=""field field--name-body field--type-text-with-summary field--label-hidden""><div class=""field__items""><div class=""field__item even""><p>The Senate Judiciary Committee is set to consider and vote on the <a href=""https://www.congress.gov/bill/119th-congress/senate-bill/4591"">Nurture Originals, Foster Art, and Keep Entertainment Safe Act</a> (NO FAKES). Instead of targeting the real privacy harms posed by AI-generated replicas, this law would create another layer of internet censorship on top of the already existing legal and voluntary takedown systems. Congress should reject NO FAKES.</p>
<p class=""take-action""><a href=""https://act.eff.org/action/tell-congress-just-say-no-to-no-fakes"">Take action</a></p>
<p class=""take-explainer""><a href=""https://act.eff.org/action/tell-congress-throw-out-the-no-fakes-act-and-start-over"">Tell Congress to Say No to NO FAKES</a></p>
<p><span>As currently written, NO FAKES proposes to tackle the problems of misleading AI-generated replicas by creating a broad property right in someone's look, voice, and general style. However, there are all kinds of First Amendment-protected expression that would be swept under the NO FAKES regime—think about parody, news, criticism.</span></p>
<p><span>NO FAKES also does a laughable job of protecting artists from use of their image in misleading ways. It doesn’t create a privacy right, but rather a property right that can easily be signed away—as major studios and record labels are almost certain to require in their contracts with artists. As a result, NO FAKES actually creates a new avenue for the exploitation of artists by companies instead of protection from misleading replicas. </span></p>
<p><span>The bill also makes it trivially easy for protected speech to be censored. It is a supercharged version of the already flawed copyright takedown regime. It would essentially require platforms to institute filters that don't just look for exact matches of copyrighted material, as current filters do, but anything that might be a digital replica. Even though the latest version of this bill adds some forms of redress for bad faith takedowns, those provisions lack the teeth required to deter a malicious actor. </span></p>
<p><span>NO FAKES targets speech, tools, and innovation instead of focusing on the real concern posed by these replicas: privacy. This bill was a bad idea when it was <a href=""https://www.eff.org/deeplinks/2024/04/congress-should-just-say-no-no-fakes"">introduced</a>, and got even worse when it was <a href=""https://www.eff.org/deeplinks/2025/06/no-fakes-act-has-changed-and-its-so-much-worse"">amended last year</a>. Tell Congress to just say no to NO FAKES.</span></p>
<p class=""take-action""><a href=""https://act.eff.org/action/tell-congress-just-say-no-to-no-fakes"">Take action</a></p>
<p class=""take-explainer""><a href=""https://act.eff.org/action/tell-congress-throw-out-the-no-fakes-act-and-start-over"">Tell Congress to Say No to NO FAKES</a></p>

</div></div></div>",https://www.eff.org/deeplinks/2026/06/tell-congress-just-say-no-no-fakes,2026-06-09T21:00:35+00:00,2026-06-09,2026-06-11T14:40:13.348213+00:00,-0.8599,negative,0.125,0.141,0.734,"['us_legislation', 'privacy', 'copyright_ip']",neutral/mixed
996a14ab87f2,Ars Technica Tech Policy,news,"Man sues Florida cops over arrest spurred by ""93% match"" in facial recognition","Lawsuit: ""Police let an error-prone AI system stand in for an investigation.""",https://arstechnica.com/tech-policy/2026/06/man-jailed-due-to-faulty-face-recognition-says-florida-cops-ignored-other-evidence/,2026-06-10T21:30:44+00:00,2026-06-10,2026-06-11T14:40:18.401783+00:00,-0.5106,negative,0.0,0.158,0.842,['privacy'],neutral/mixed
50812662f89d,Ars Technica Tech Policy,news,"Nobody needs AI to search the Internet, court says in ruling against Google",Google AI Overview court loss in Germany could spell doom for AI search industry.,https://arstechnica.com/tech-policy/2026/06/nobody-needs-ai-to-search-the-internet-court-says-in-ruling-against-google/,2026-06-10T17:19:31+00:00,2026-06-10,2026-06-11T14:40:18.401811+00:00,-0.6124,negative,0.0,0.167,0.833,[],neutral/mixed
