id,source,type,title,text,url,date,pub_date,fetched,vader_compound,vader_label,vader_pos,vader_neg,vader_neu,topics,stance
358918814398,The Verge AI,news,China may have accessed Mythos,"According to a new report from Semafor, the White House's decision to impose export restrictions on Anthropic's Mythos was driven in part by fears that it had been accessed by a group linked to China. If the Chinese government actually had access to Mythos 5 or Fable 5, it would present a serious national security [&#8230;]",https://www.theverge.com/ai-artificial-intelligence/949644/china-white-house-anthropic-mythos,2026-06-14T18:27:55+00:00,2026-06-14,2026-06-15T16:19:58.301796+00:00,-0.4404,negative,0.037,0.096,0.868,['national_security'],neutral/mixed
bc7fc883d0fe,The Verge AI,news,Anthropic cuts off Fable 5 and Mythos 5 access following government order,"On Friday evening, the government ordered Anthropic to block access to Fable 5 and Mythos 5 for all foreign nations, both inside and outside the US, due to national security concerns. That order included employees of Anthropic. To meet those demands, the company has completely cut off access to the models for all customers. In [&#8230;]",https://www.theverge.com/ai-artificial-intelligence/949553/anthropic-fable-5-mythos-5-government-national-security,2026-06-13T12:55:49+00:00,2026-06-13,2026-06-15T16:19:58.301949+00:00,-0.624,negative,0.032,0.101,0.866,['national_security'],neutral/mixed
0a59211a2c97,TechCrunch,news,Cybersecurity vets protest ‘dangerous’ US government ban on Anthropic’s most powerful models,"A group made up of dozens of cybersecurity experts urged the White House to remove export control restrictions on Anthropic’s models Fable and Mythos, arguing that the order is going to limit the ability of cybersecurity defenders to secure their software and products.",https://techcrunch.com/2026/06/15/cybersecurity-vets-protest-dangerous-us-government-ban-on-anthropics-most-powerful-models/,2026-06-15T15:29:51+00:00,2026-06-15,2026-06-15T16:19:59.481762+00:00,-0.1298,negative,0.138,0.131,0.731,[],pro-regulation
0308281aa0fc,TechCrunch,news,Amazon CEO reportedly raised Anthropic model concerns before government crackdown,Amazon CEO Andy Jassy may have been the source of security concerns that led Anthropic to cut off worldwide access to two models on Friday.,https://techcrunch.com/2026/06/13/amazon-ceo-reportedly-raised-anthropic-model-concerns-before-government-crackdown/,2026-06-13T19:11:41+00:00,2026-06-13,2026-06-15T16:19:59.482235+00:00,0.4019,positive,0.149,0.054,0.797,[],neutral/mixed
748265de56e1,TechCrunch,news,OpenAI faces investigation from state attorneys general,"It's not clear which states are involved, but they're asking about everything from OpenAI's ad policies to its handling of health data.",https://techcrunch.com/2026/06/13/openai-faces-investigation-from-state-attorneys-general/,2026-06-13T16:47:18+00:00,2026-06-13,2026-06-15T16:19:59.482269+00:00,-0.1511,negative,0.0,0.054,0.946,['healthcare'],neutral/mixed
