id,source,type,title,text,url,date,pub_date,fetched,vader_compound,vader_label,vader_pos,vader_neg,vader_neu,topics,stance
c9c7e7aae937,The Verge AI,news,Is Big Tech’s AI slowdown a safety pact or a cartel?,"When OpenAI CEO Sam Altman, Anthropic CEO Dario Amodei, Google DeepMind cofounder Demis Hassabis, and SpaceX head Elon Musk loosely agreed over the weekend to slow down AI development, skeptics spotted an ulterior motive immediately. The AI titans had declared that their aim was to ""pace the frontier,"" signing on at least partially to a [&#8230;]",https://www.theverge.com/ai-artificial-intelligence/995186/is-big-techs-ai-slowdown-a-safety-pact-or-a-cartel,2026-09-14T22:59:41+00:00,2026-09-14,2026-09-15T15:29:34.694944+00:00,0.5423,positive,0.07,0.02,0.91,[],neutral/mixed
de5d887a67d7,The Verge AI,news,What execs and politicians are saying about slowing down AI development,"Dario Amodei kicked off a flood of statements over the past few days about AI safety by publishing a long essay titled ""We Must Pace the Frontier"" detailing why AI development should be slowed down. Other AI leaders and politicians are speaking out in favor of or opposing his points, and we've compiled some of [&#8230;]",https://www.theverge.com/ai-artificial-intelligence/995141/ai-executives-politicians-safety-regulation-anthropic-dario-amodei,2026-09-14T21:21:42+00:00,2026-09-14,2026-09-15T15:29:34.694972+00:00,0.6705,positive,0.078,0.0,0.922,[],neutral/mixed
3a588dc9c7bf,The Verge AI,news,Microsoft says ‘people matter more than AI’ following safety concerns,"Microsoft is publishing a 37-page ""humanist AI code of conduct"" today, amid growing safety concerns over AI model progress. Anthropic CEO Dario Amodei called for a coordinated slow down of AI development over the weekend, after researchers warned recently that AI model progress could outpace our ability to safely deploy increasingly complex systems and verify [&#8230;]",https://www.theverge.com/news/994566/microsoft-humanist-ai-code-of-conduct,2026-09-14T13:00:00+00:00,2026-09-14,2026-09-15T15:29:34.695007+00:00,0.9371,positive,0.248,0.027,0.725,[],neutral/mixed
f3c2d25299c7,MIT Tech Review,news,"AI models need more data about biology, and OpenAI is paying to create it","Last year Ruxandra Teslo, a policy analyst who focuses on clinical trials, posted an idea for supercharging medical AI systems: Use data from failed biotech companies. By bidding at their bankruptcy proceedings, she proposed, it might be possible to obtain detailed regulatory filings, manufacturing strategies, and safety data—types of information usually considered trade secrets. She&#8230;",https://www.technologyreview.com/2026/09/15/1144129/ai-models-need-more-data-about-biology-and-openai-is-paying-to-create-it/,2026-09-15T12:00:00+00:00,2026-09-15,2026-09-15T15:29:35.318643+00:00,0.1531,positive,0.066,0.044,0.889,['healthcare'],pro-regulation
8f91eecbb9dc,Ars Technica Tech Policy,news,OpenAI stuck fighting Musk antitrust suit after Apple finds a way out,Musk stops attacking Apple over ChatGPT integration but not OpenAI.,https://arstechnica.com/tech-policy/2026/09/musk-drops-apple-from-antitrust-suit-but-keeps-gunning-for-openai/,2026-09-14T19:45:13+00:00,2026-09-14,2026-09-15T15:29:44.139104+00:00,-0.5499,negative,0.0,0.267,0.733,[],neutral/mixed
