id,source,type,title,text,url,date,pub_date,fetched,vader_compound,vader_label,vader_pos,vader_neg,vader_neu,topics,stance
45adb63cdeb5,The Verge AI,news,OpenAI’s rogue AI agent didn’t stop at hacking Hugging Face,"The AI agent that escaped from OpenAI and hacked developer platform Hugging Face attacked other companies as well, OpenAI revealed on Tuesday. The update substantially widens the scope of an already concerning incident, which has alarmed industry insiders and fueled growing calls for stronger oversight on frontier AI systems. In an update to a blog [&#8230;]",https://www.theverge.com/ai-artificial-intelligence/972441/openai-rogue-ai-agent-hacked-more-than-hugging-face,2026-07-29T11:54:29+00:00,2026-07-29,2026-07-30T12:30:23.112896+00:00,0.1779,positive,0.151,0.13,0.719,[],pro-regulation
4d6431903407,The Verge AI,news,We’re running out of reasons to ignore AI safety,"Earlier this month, OpenAI gave several of its AI models a task: complete a test designed to measure their cybersecurity capabilities. It put the systems in a sandboxed environment without an internet connection and set them off to work. What happened next is almost laughably silly - but also, as Adam Gleave, cofounder and CEO [&#8230;]",https://www.theverge.com/ai-artificial-intelligence/972380/open-ai-hugging-face-hack-ai-safety-warning,2026-07-29T11:00:00+00:00,2026-07-29,2026-07-30T12:30:23.112929+00:00,0.1316,positive,0.05,0.042,0.908,[],neutral/mixed
f22aa3b4b98b,The Verge AI,news,AI leaders sign a statement asking the government to do something about automated AI,"Employees of OpenAI and Anthropic, as well as Google, Meta, Thinking Machines, Microsoft, Mistral, and other leading AI labs, have written a statement to the US government supporting a potential slowdown of sorts for frontier AI development - or at least a speed-up of global coordinated governance efforts. ""Al could help create a dramatically better [&#8230;]",https://www.theverge.com/ai-artificial-intelligence/972161/ai-leaders-us-government-openai-anthropic-google-meta,2026-07-28T19:46:43+00:00,2026-07-28,2026-07-30T12:30:23.112969+00:00,0.8934,positive,0.163,0.0,0.837,[],neutral/mixed
d3ef4a34cd19,MIT Tech Review,news,A fundamental flaw leaves LLMs strikingly vulnerable to attack,"It is impossible to make large language models fully secure against hacks because of a fundamental flaw in how they work, a team of researchers argue in a paper presented at the International Conference on Machine Learning, a top AI conference, this month. The claim has huge implications for the safety of this technology, which&#8230;",https://www.technologyreview.com/2026/07/30/1140927/a-fundamental-flaw-leaves-llms-vulnerable-to-attack/,2026-07-30T10:15:19+00:00,2026-07-30,2026-07-30T12:30:23.861658+00:00,0.2944,positive,0.13,0.1,0.77,[],neutral/mixed
7802d42c54c4,TechCrunch,news,"Thinking Machines co-founder Lilian Weng left the company citing health reasons, then joined OpenAI",Weng previously served as the VP of AI Safety Research at OpenAI.,https://techcrunch.com/2026/07/29/thinking-machines-co-founder-lilian-weng-left-the-company-citing-health-reasons-then-joined-openai/,2026-07-29T21:07:48+00:00,2026-07-29,2026-07-30T12:30:24.436753+00:00,0.4215,positive,0.101,0.0,0.899,['healthcare'],neutral/mixed
071766e41db3,EFF DeepLinks,news,San Francisco: Don’t Fall for Industry Defense of Surveillance Pricing,"<div class=""field field--name-body field--type-text-with-summary field--label-hidden""><div class=""field__items""><div class=""field__item even""><p><span>The concept of “surveillance pricing” is just one part of a much larger problem and business model: corporations maximizing their profits by invading our privacy. The all-too-common business model is to systematically harvest, collate, and store as much of our personal data as possible, and then monetize it through use and sale. When it comes to surveillance pricing, that looks like corporations offering the same product to two different people at two different prices, based on harvested personal information. That's why </span><a href=""https://www.eff.org/deeplinks/2026/06/californias-bill-ban-surveillance-pricing""><span>EFF supports A.B. 2654</span></a><span>, authored by Assemblymember Chris Ward, which bans this harmful practice. </span></p>
<p><span>As an organization based in San Francisco, EFF was proud to learn that the San Francisco Board of Supervisors had also </span><a href=""https://media.api.sf.gov/documents/LI071426.pdf""><span>introduced a resolution</span></a><span> to similarly support the legislation. However,  we were disappointed to learn the San Francisco Board of Supervisors has since </span><a href=""https://www.sfexaminer.com/news/community/board-not-yet-ready-to-weigh-in-on-state-surveillance-pricing-ban/article_0ae4d143-cced-4988-abda-0b71bcbe524c.html""><span>stalled a vote</span></a><span> on the <a href=""https://media.api.sf.gov/documents/LI071426.pdf"">resolution</a> stating their own support for </span><a href=""https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2564""><span>A.B. 2654</span></a><span> after receiving an email from the San Francisco Chamber of Commerce criticizing the bill using well-worn and debunked concerns. We’ve sent the Supervisors a <a href=""https://www.eff.org/document/letter-sf-bos-re-surveillance"">letter</a> asking them to reconsider.</span></p>
<p><span>Banning surveillance pricing would be good for consumers. The FTC has found that companies will set higher prices based on personal information. “For instance,” </span><a href=""https://www.ftc.gov/system/files/ftc_gov/pdf/p246202_surveillancepricing6bstudy_researchsummaries_redacted.pdf""><span>the FTC found last year</span></a><span>, “if a consumer is profiled as a new parent, the consumer may intentionally be shown higher-priced baby thermometers on the first page of their in-app search results, based on their residential zip code and time of purchase.” Let's say that again: the U.S. government has found that companies may seek to use surveillance pricing to charge parents searching for a thermometer in the middle of the night </span><i><span>more money</span></i><span> in a time of need.</span></p>
<p><a href=""https://btlj.org/wp-content/uploads/2025/01/39-2_Ozer.pdf""><span>Privacy is a human right</span></a><span>, not something that people should understand as a currency to give away or protect based on how it will impact the price of groceries. EFF has</span><a href=""https://www.eff.org/deeplinks/2020/10/why-getting-paid-your-data-bad-deal""> <span>long</span></a><a href=""https://www.eff.org/wp/privacy-first-better-way-address-online-harms#Legislation""> <span>opposed</span></a><span> pay-for-privacy schemes, in which a company charges a higher price to a customer who refuses to submit to processing of their personal data. Surveillance pricing is another version of that practice. You should never have to worry that your privacy rights depend on how much you make.</span></p>
<p><span>At a time when prices for everyday goods continue to climb, some surveillance pricing defenders </span><a href=""https://progresschamber.org/project/more-ways-to-save/""><span>note</span></a><span> that using personal information could lead to lower prices for some consumers. Yet </span><a href=""https://www.cmu.edu/tepper/news/stories/researchers-decode-welfare-effects-pricing-algorithms""><span>some</span></a><a href=""https://insights.som.yale.edu/insights/the-perils-of-personalized-pricing""> <span>recent</span></a><a href=""https://www.sciencedirect.com/science/article/abs/pii/S014829632100727X""> <span>studies</span></a><span> indicate there will be losers and winners  based on factors such as whether a consumer is willing or able to switch products. Who loses or wins also will turn on the accuracy of the underlying data – yet surveillance pricing is often based on</span><a href=""https://www.consumerreports.org/money/questionable-business-practices/kroger-secret-grocery-shopper-loyalty-profiles-unfair-a1011215563/""> <span>false information</span></a><span>.</span></p>
<p><span>That said, even if surveillance pricing has the capability to lead to lower prices (which it often doesn't) we oppose it as just another way that corporations try to make customers pay for their privacy.</span></p>
<p><span>The San Francisco Chamber of Commerce’s concerns are fully addressed in the text of A.B. 2654. The Chamber raises questions about how businesses will comply with the law. But the bill is quite clear: “a retailer shall not engage in surveillance pricing.” It also has a clear definition of what “surveillance pricing” is. The banned practice is defined as: “[i] a customized price for a good for a specific consumer or group of consumers, [ii] based, in whole or in part, on personally identifiable information collected through electronic surveillance,” including if that information is “acquired from a third party.” In other words, “surveillance pricing” is a customized price based on personal information.</span></p>
<p><span>The SF  Chamber’s letter also asks about the bill's “treatment of discounts and loyalty programs.” In this way, too, A.B. 2654 is quite clear. The bill includes three broad carveouts that ensure it doesn't disrupt loyalty programs and discounts:</span></p>
<ul>
<li><span>First, for price differences “based solely on costs associated with providing the good to different consumers.”</span></li>
<li><span>Second, for a discount offered to a consumer who is taking steps to terminate a service.</span></li>
<li><span>Third, for a discount, conspicuously posted on a retailer’s website, that is uniformly available based on (1) criteria anyone can meet, such as signing up for a mailing list, (2) membership in a broadly defined group, such as seniors, or (3) participation in a loyalty program.</span></li>
</ul>
<p><span>An opt-in senior discount to the movies is not the problem. The systematic collection of all of our personal information to determine whether someone is a senior and if so whether they should pay more or less for that matinee is. </span></p>
<p><span>As we said in our </span><a href=""https://www.eff.org/deeplinks/2026/06/californias-bill-ban-surveillance-pricing""><span>blog post</span></a><span> outlining our support for this bill:</span></p>
<blockquote><p><span>Surveillance pricing is very similar to online behavioral advertising, a business practice that EFF urges governments to</span><a href=""https://www.eff.org/deeplinks/2022/03/ban-online-behavioral-advertising""> <span>ban</span></a><span>. Both practices incentivize all businesses to collect as much of our personal data as possible, in order to later monetize it. Both practices lead some businesses to collate and store our data into dossiers about us for later use. Both practices use these surveillance-based dossiers to manipulate and limit our economic choices, by altering the advertisements and prices we see online.</span></p>
</blockquote>
<p><span>We urge the San Francisco Board of Supervisors to join</span><a href=""https://techequity.us/surveillance-pricing-ab-2564/""><span> the coalition</span></a> <a href=""https://cdt.org/wp-content/uploads/2026/03/Bespoke-pricing-Calif-AB2564-coalition-letter.pdf""><span>of groups</span></a> <a href=""https://advocacy.consumerreports.org/press_release/california-state-assembly-passes-key-bill-to-prohibit-surveillance-pricing/""><span>that support</span></a><span> A.B. 2564, and stand against companies mining our personal information to charge us different prices for the same thing. </span></p>
<p><span>You can read our letter to the Supervisors <a href=""https://www.eff.org/document/letter-sf-bos-re-surveillance"">here</a>.</span></p>

</div></div></div>",https://www.eff.org/deeplinks/2026/07/san-francisco-dont-fall-industry-defense-surveillance-pricing,2026-07-28T21:55:43+00:00,2026-07-28,2026-07-30T12:30:28.435587+00:00,0.8885,positive,0.063,0.025,0.912,"['us_legislation', 'privacy', 'national_security']",pro-regulation
9de6703d2dda,AlgorithmWatch,news,"Click, Strip, Repeat: Sex Workers and Digital Violence Amidst the Deepfake Boom","For victims of targeted, sexualized attacks, searching for redress is not easy: they are blamed for posting pictures of them online, accused of overreacting by the police, and followed for life with the consequences of losing the control over their own body and image.",https://algorithmwatch.org/en/workers-digital-violence-deepfakes/,2026-07-28T07:00:00+00:00,2026-07-28,2026-07-30T12:30:32.112262+00:00,-0.9559,negative,0.0,0.286,0.714,[],neutral/mixed
7f01425202fa,arXiv,academic,"Anticipatory Data Governance in the Age of AI: Emerging Signals in Data Access, Reuse, and Sovereignty","This paper reports findings from a structured participatory foresight study comprising two expert forecasting studios convened by The GovLab between 2025 and 2026. The studios brought together nineteen senior practitioners spanning official statistics, digital and trade policy, open science, AI governance, geospatial systems, and public-sector innovation across multiple jurisdictions. Applying a qualitative signal-scanning methodology grounded in the horizon-scanning and anticipatory-governance traditions, we elicited, clustered, and thematically synthesized emerging developments in data access, governance,and reuse, and stress-tested them against practitioner experience. We identify seven convergent signals: (1) the open-data paradigm is under strain; (2) data ecosystems are becoming machine-centric and AI-mediated; (3) inference is reshaping the foundations of data governance;(4) data infrastructure is becoming harder to sustain; (5) governance is fragmenting across institutions and jurisdictions; (6) sovereignty and security are driving a turn toward strategic control; and (7) data-sharing models require stronger incentives and benefit-sharing mechanisms. We further map the reinforcing feedback loops that couple these signals, showing how interventions in one domain propagate risks and opportunities across the wider ecosystem. We argue that data governance is becoming inseparable from AI governance, digital public infrastructure, economic strategy, democratic resilience, and geopolitical competition, and we outline an agenda for anticipatory data governance capable of adapting before dependencies, risks, and missed opportunities become locked in. The contribution is diagnostic rather than predictive: the signals offer an evidence-informed framework for reasoning about structural shifts already underway, not a forecast of specific technological outcomes.",https://arxiv.org/abs/2607.27029v1,2026-07-29T15:24:00+00:00,2026-07-29,2026-07-30T12:30:36.654602+00:00,0.8271,positive,0.065,0.037,0.898,[],neutral/mixed
bd36d83b1059,arXiv,academic,Why Public Service AI Governance Frameworks Risk Failing in the Age of General-Purpose AI: Lessons from Policing,"Public services face growing pressure to adopt artificial intelligence (AI) to close the gap between rising demand and falling resources. That pressure has intensified with general-purpose AI (GPAI): AI built on large language models that can be directed by prompt alone to perform an effectively unbounded range of tasks. We argue that the properties that make these models attractive - their generality, accessibility, and low deployment cost - undermine the conditions under which AI safety has historically been pursued. The safety concepts that public service governance frameworks foreground - accuracy, bias, explainability, and accountability - were made tractable by narrow, purpose-built AI, and the mitigations that guidance documents prescribe presuppose exactly what GPAI removes. Accuracy cannot be quantified over unbounded outputs. Bias cannot be disaggregated when outputs are free-text judgements rather than categorical predictions. Explainability gives way to the appearance of explanation, and accountability erodes as outputs are optimized to persuade. We develop this through the case of policing, where the consequences of governance failure are most severe, and show why the same failure is likely to recur across other public services. The two mitigations that dominate policing AI strategy - expert evaluation and human-in-the-loop oversight - both rest on assumptions that GPAI violates. Safety assurance thus shifts from an intrinsic feature of building an AI tool to an optional add-on. We recommend a clear taxonomic distinction between narrow and general-purpose AI in governance documentation, a preference for technological parsimony, a pause on operational deployment of GPAI in policing until adequate evidence exists, and a coordinated national safety infrastructure with the authority to generate that evidence and determine when responsible deployment is achievable.",https://arxiv.org/abs/2607.25648v1,2026-07-28T12:34:04+00:00,2026-07-28,2026-07-30T12:30:36.654627+00:00,0.6258,positive,0.124,0.115,0.761,"['bias_fairness', 'transparency']",pro-regulation
