id,source,type,title,text,url,date,pub_date,fetched,vader_compound,vader_label,vader_pos,vader_neg,vader_neu,topics,stance
2015d5b1d007,TechCrunch,news,This AI weather startup is out-forecasting government agencies,Windborne Systems' newest weather forecasting model beats the best government predictions by days.,https://techcrunch.com/2026/06/01/this-ai-weather-startup-is-out-forecasting-government-agencies/,2026-06-01T16:00:00+00:00,2026-06-01,2026-06-01T16:40:21.230601+00:00,0.6369,positive,0.174,0.0,0.826,[],neutral/mixed
f04adbf22ede,EFF DeepLinks,news,Welcome New EFF Executive Director Nicole Ozer,"<div class=""field field--name-body field--type-text-with-summary field--label-hidden""><div class=""field__items""><div class=""field__item even""><p><span>EFF welcomes our new Executive Director Nicole Ozer today!</span><span> </span></p>
<p><span>Nicole is a legal expert on privacy and surveillance, artificial intelligence, and digital speech who previously served as the inaugural executive director of the </span><a href=""https://www.uclawsf.edu/center-for-constitutional-democracy/"" rel=""noopener noreferrer"" target=""_blank""><span>Center for Constitutional Democracy</span></a><span> at UC Law San Francisco. From 2004-2025, she was founding director of the Technology and Civil Liberties Program at the </span><a href=""https://www.aclunorcal.org/"" rel=""noopener noreferrer"" target=""_blank""><span>American Civil Liberties Union of Northern California</span></a><span>.</span><span> </span></p>
<p><span>Nicole has long been a partner of EFF’s in the fight to defend civil liberties in the digital world. Many of us already know her, and she’s basically as close to EFF “family” as someone can be without actually having worked here.  </span><span> </span></p>
<p><span>Over her more than two decades leading public interest technology work, Nicole has: </span><span> </span></p>
<ul>
<li><span>spearheaded passage of the </span><a href=""https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB178"" rel=""noopener noreferrer"" target=""_blank""><span>California Electronic Communications Privacy Act</span></a><span> – working with EFF to enact the nation’s strongest electronic surveillance law, requiring a warrant for government access to electronic information;</span><span> </span></li>
<li><span>modernized California law to protect reading records in the digital age by helping, </span><a href=""https://www.eff.org/cases/sb-602-californias-reader-privacy-act-2011"" rel=""noopener noreferrer"" target=""_blank""><span>along with EFF</span></a><span>, to craft the </span><a href=""https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201120120SB602"" rel=""noopener noreferrer"" target=""_blank""><span>Reader Privacy Act,</span></a><span> requiring a “super warrant” for government access;</span><span> </span></li>
<li><span>created a groundbreaking model law for local democratic oversight of surveillance systems which inspired 25 laws across the country that help safeguard the rights and safety of more than 17 million people;</span><span> </span></li>
<li><span>litigated civil liberties cases, including work with EFF on </span><a href=""https://www.eff.org/cases/jewel"" rel=""noopener noreferrer"" target=""_blank""><span>the NSA cases</span></a><span>, and drafted influential amicus briefs on technology issues at all levels of state and federal court, including the U.S. Supreme Court and California Supreme Court; and</span><span> </span></li>
<li><span>developed multi-year campaigns to strengthen the anti-surveillance policies related to social media surveillance and face recognition of major technology companies and foster stronger privacy and free expression protection for billions of people worldwide.</span><span> </span></li>
</ul>
<p><span>And that's just the TL;DR! You can read more about her bona fides </span><a href=""https://www.eff.org/about/staff/nicole-ozer"" rel=""noopener noreferrer"" target=""_blank""><span>here</span></a><span>.</span><span> </span></p>
<p><span>EFF’s work to ensure technology supports freedom, justice, and innovation is more urgent than ever. And with Nicole’s decades of leadership in public interest technology work, EFF is poised to be stronger than ever to meet this moment and build for the fights ahead.</span><span> </span></p>
<p><span>Nicole succeeds </span><a href=""https://www.eff.org/about/staff/cindy-cohn"" rel=""noopener noreferrer"" target=""_blank""><span>Cindy Cohn</span></a><span>, who has been with EFF for more than 25 years and served as executive director since 2015. Cindy is </span><a href=""https://www.eff.org/press/releases/executive-director-cindy-cohn-will-step-down-after-25-years-eff"" rel=""noopener noreferrer"" target=""_blank""><span>leaving EFF later this month</span></a><span> – not to retire, but to find a role that puts her back in the courtroom doing what she does best: suing the government! She’ll still be part of the EFF community.</span><span> </span></p>
<p><span>We are living digital lives, using technology to connect, communicate, and mobilize for change. And we need you in these critical fights to defend and advance rights in the digital world – so join EFF today, and </span><a href=""https://www.eff.org/effector"" rel=""noopener noreferrer"" target=""_blank""><span>sign up for our EFFector newsletter</span></a><span> to make sure you’re updated on the latest EFF news including upcoming events to help you get to know Nicole.</span><span> </span></p>
<p><span>Welcome Nicole!</span><span> </span></p>

</div></div></div>",https://www.eff.org/deeplinks/2026/05/welcome-new-eff-executive-director-nicole-ozer,2026-06-01T14:25:05+00:00,2026-06-01,2026-06-01T16:40:25.703127+00:00,0.9946,positive,0.17,0.008,0.822,['privacy'],neutral/mixed
