id,source,type,title,text,url,date,fetched,vader_compound,vader_label,vader_pos,vader_neg,vader_neu,topics,stance
6fccb4ebfca3,POLITICO Tech,news,AI talks draw backlash from Mass. state lawmakers,The letter is the latest signal of Democratic unease about working with Republicans on federal AI legislation to override state rules on the technology.,https://www.politico.com/news/2026/05/01/ai-backlash-massachusetts-lawmakers-00903440,"Fri, 01 May 2026 18:11:04 EST",2026-05-18T11:51:31.322145,-0.4019,negative,0.0,0.08,0.92,[],neutral/mixed
dfec5238d91f,Future of Life,news,Future of Life Institute Launches Multimillion Dollar Nationwide AI Regulation Campaign,The Protect What’s Human campaign will push for commonsense AI safety rules at federal and state level,https://futureoflife.org/press-release/fli-launches-multimillion-dollar-nationwide-ai-regulation-campaign/,"Mon, 09 Feb 2026 22:12:40 +0000",2026-05-18T11:51:35.067845,0.6597,positive,0.172,0.0,0.828,[],neutral/mixed
24baefe110d8,Future of Life,news,Context and Agenda for the 2025 AI Action Summit,The AI Action Summit will take place in Paris from 10-11 February 2025. Here we list the agenda and key deliverables.,https://futureoflife.org/ai-policy/context-and-agenda-2025-ai-action-summit/,"Fri, 31 Jan 2025 19:59:10 +0000",2026-05-18T11:51:35.067949,0.0,neutral,0.0,0.0,1.0,[],neutral/mixed
