id,source,type,title,text,url,date,pub_date,fetched,vader_compound,vader_label,vader_pos,vader_neg,vader_neu,topics,stance
bdaf3c1d9aba,The Verge AI,news,AI leaders call for tougher protections against AI-aided bioweapons,"Some of the AI industry's biggest rivals have put their many, many grievances aside for a common cause: making it harder for people to use their technology to develop biological weapons. In an open letter to US lawmakers, tech leaders are pressing Congress to enact rules closing what they say is an alarming biosecurity gap [&#8230;]",https://www.theverge.com/ai-artificial-intelligence/942956/ai-biological-weapons-open-letter-congress,2026-06-04T12:12:12+00:00,2026-06-04,2026-06-04T14:00:06.381796+00:00,-0.6369,negative,0.024,0.099,0.876,['us_legislation'],neutral/mixed
fb64ca63075c,The Verge AI,news,"Google must let publishers opt out of AI Search features, rules UK","Online publishers are getting more control over whether their websites appear in Google's AI Search features, thanks to a UK regulatory ruling. The new conduct rule imposed by the Competition and Markets Authority (CMA) requires Google to let website owners keep their content out of features like AI Overviews and prevent it from being used [&#8230;]",https://www.theverge.com/tech/942302/google-search-ai-overviews-uk-cma-publisher-opt-out,2026-06-03T08:45:48+00:00,2026-06-03,2026-06-04T14:00:06.382248+00:00,0.6705,positive,0.108,0.018,0.874,[],neutral/mixed
21a792301885,The Verge AI,news,Trump signs executive order to review AI models before they’re released,"President Donald Trump signed an executive order Tuesday creating a ""voluntary framework"" for AI companies to share their frontier models with the federal government before they're released ""to promote secure innovation and strengthen the cybersecurity of critical infrastructure."" The order says the US AI industry has succeeded in part ""because we refuse to stifle this [&#8230;]",https://www.theverge.com/policy/941775/trump-ai-executive-order,2026-06-02T18:33:42+00:00,2026-06-02,2026-06-04T14:00:06.382463+00:00,0.891,positive,0.215,0.057,0.729,['us_legislation'],neutral/mixed
884dc455a13c,MIT Tech Review,news,The Download: AI-generated lawsuits and virtual power plants for data centers,"This is today&#8217;s edition of The Download, our weekday newsletter that provides a daily dose of what&#8217;s going on in the world of technology. How courts are coping with a flood of AI-generated lawsuits Most days in her chambers, Judge Maritza Braswell, a federal magistrate judge in Colorado, sifts through stacks of documents written by&#8230;",https://www.technologyreview.com/2026/06/04/1138408/the-download-ai-lawsuits-virtual-power-plants-data-centers/,2026-06-04T12:10:00+00:00,2026-06-04,2026-06-04T14:00:07.139153+00:00,-0.296,negative,0.0,0.048,0.952,[],neutral/mixed
ce50fb25a5f8,MIT Tech Review,news,How courts are coping with a flood of AI-generated lawsuits,"Most days in her chambers, Judge Maritza Braswell, a federal magistrate judge in Colorado, sifts through stacks of documents written by people without a lawyer. Many of them can’t afford to hire a lawyer, and others have cases too weak or too small to interest one. She reads each one carefully, mindful of how daunting&#8230;",https://www.technologyreview.com/2026/06/04/1138391/courts-coping-ai-lawsuits/,2026-06-04T10:50:18+00:00,2026-06-04,2026-06-04T14:00:07.139180+00:00,0.0,neutral,0.064,0.064,0.871,[],neutral/mixed
4099f7ce95d3,TechCrunch,news,"Still facing copyright lawsuits, AI music generator Suno raises another $400M","The prominent AI music-generation startup is now valued at over $5.4 billion -- about seven months ago, it raised at a $2.45 billion valuation.",https://techcrunch.com/2026/06/03/still-facing-copyright-lawsuits-ai-music-generator-suno-raises-another-400m/,2026-06-03T15:31:42+00:00,2026-06-03,2026-06-04T14:00:07.745233+00:00,0.5574,positive,0.134,0.041,0.825,['copyright_ip'],neutral/mixed
f82a30b068b3,TechCrunch,news,"Publishers will be able to opt out of AI Search, thanks to new regulation",U.K. regulators are requiring Google offer a tool allowing website publishers to opt-out of generative AI search features. The option will be tested in the U.K. then rolled out globally.,https://techcrunch.com/2026/06/03/publishers-will-be-able-to-opt-out-of-ai-search-thanks-to-new-regulation/,2026-06-03T14:58:33+00:00,2026-06-03,2026-06-04T14:00:07.745386+00:00,0.4404,positive,0.063,0.0,0.937,['copyright_ip'],neutral/mixed
d02c00a8ffb9,Ars Technica Tech Policy,news,"Amazon-owned Ring should pay Americans for scanning their faces, lawsuit says",Lawsuit: Ring cameras scan guests and passersby and use AI to identify faces.,https://arstechnica.com/tech-policy/2026/06/amazon-owned-ring-should-pay-americans-for-scanning-their-faces-lawsuit-says/,2026-06-02T20:17:41+00:00,2026-06-02,2026-06-04T14:00:16.416718+00:00,-0.4939,negative,0.0,0.198,0.802,[],neutral/mixed
