id,source,type,title,text,url,date,pub_date,fetched,vader_compound,vader_label,vader_pos,vader_neg,vader_neu,topics,stance
74a1f4fa23b1,The Verge AI,news,"Microsoft AI CEO says AI threats are real, and Anthropic is making it worse","Today, I’m talking with Mustafa Suleyman, the CEO of Microsoft AI. As you’re no doubt aware, the biggest story in tech right now is the spiraling debate about AI safety and regulation.&#160; It should come as no surprise that Mustafa has strong opinions on how AI should be built and regulated. Microsoft just published a [&#8230;]",https://www.theverge.com/podcast/996412/microsoft-ai-ceo-mustafa-suleyman-regulation-safety-anthropic-claude,2026-09-17T14:00:00+00:00,2026-09-17,2026-09-18T14:49:33.811742+00:00,0.127,positive,0.103,0.097,0.801,[],neutral/mixed
b976cf94b51b,The Verge AI,news,Inside the suddenly explosive world of AI safety,"On a sunny July day in Berkeley, California, the country's top AI safety researchers gathered on an unmarked floor of an unmarked building. They had come together for a ""war room"" to dissect the high-profile cybersecurity incident that had rocked the AI industry hours earlier. An unreleased OpenAI model had gone rogue, executing a stunningly [&#8230;]",https://www.theverge.com/ai-artificial-intelligence/996563/ai-safety-research-metr-redwood-openai-anthropic,2026-09-17T11:30:00+00:00,2026-09-17,2026-09-18T14:49:33.811840+00:00,0.6486,positive,0.14,0.053,0.807,[],neutral/mixed
5e7cc4bf41d7,TechCrunch,news,The fix for rogue AI agents could be more AI,"As companies hand off longer and more complex tasks to AI agents, they are running into an oversight problem: Agents can act faster, longer, and at greater volume than humans can realistically review.",https://techcrunch.com/2026/09/17/the-fix-for-rogue-ai-agents-could-be-more-ai/,2026-09-17T20:34:47+00:00,2026-09-17,2026-09-18T14:49:35.107276+00:00,0.4588,positive,0.118,0.056,0.826,[],neutral/mixed
9d61eb9bd1c6,TechCrunch,news,Is the AI safety debate about safety or control?,Not everyone agrees with Amodei's call for globally coordinated action for AI safety.,https://techcrunch.com/2026/09/17/is-the-ai-safety-debate-about-safety-or-control/,2026-09-17T20:19:37+00:00,2026-09-17,2026-09-18T14:49:35.107345+00:00,0.7788,positive,0.3,0.057,0.643,[],neutral/mixed
2c509c3d0d19,TechCrunch,news,"Microsoft exec called AI scraping ‘the largest theft of labor in human history,’ new unredacted filings reveal","Newly unsealed court filings show Microsoft privately called OpenAI's data practices ""theft"" while both companies scraped paywalled Times content, built datasets from it, and warned internally it would gut publishers.",https://techcrunch.com/2026/09/17/microsoft-exec-called-ai-scraping-the-largest-theft-of-labor-in-human-history-new-unredacted-filings-reveal/,2026-09-17T19:46:08+00:00,2026-09-17,2026-09-18T14:49:35.107418+00:00,-0.2732,negative,0.0,0.044,0.956,['labor'],neutral/mixed
47bfcf058a61,TechCrunch,news,Even the king of England has his hesitations about AI,King Charles hosted a private summit Thursday with some of the most prominent names in AI and the U.K. government.,https://techcrunch.com/2026/09/17/even-the-king-of-england-has-his-hesitations-about-ai/,2026-09-17T17:26:25+00:00,2026-09-17,2026-09-18T14:49:35.107479+00:00,0.1263,positive,0.079,0.064,0.856,[],neutral/mixed
80716b9be355,TechCrunch,news,Base Labs launches an open-weight AI safety partnership with Hugging Face and Goodfire,"Base Labs, the research group Baseten spun up earlier this year, will develop and publish methods for training and monitoring open models.",https://techcrunch.com/2026/09/17/base-labs-launches-an-open-weight-ai-safety-partnership-with-hugging-face-and-goodfire/,2026-09-17T17:15:59+00:00,2026-09-17,2026-09-18T14:49:35.107500+00:00,0.6808,positive,0.145,0.0,0.855,[],neutral/mixed
c411d24c973c,EFF DeepLinks,news,EFF to Lawmakers: Ground AI Cybersecurity Rules in Best Practices,"<div class=""field field--name-body field--type-text-with-summary field--label-hidden""><div class=""field__items""><div class=""field__item even""><p><span>With doomsday AI scenarios dominating the news, lawmakers are rightly concerned about reports concerning security breaches at major US AI labs, such as the OpenAI–Hugging Face incident and the many others reported in its aftermath. As they consider potentially regulating frontier AI, they should focus any new legislation on the </span><a href=""https://www.eff.org/deeplinks/2026/02/smart-ai-policy-means-understanding-its-real-harms-and-benefits""><span>immediate, demonstrated risks</span></a><span> from those incidents. </span></p>
<p><a href=""https://cdn.openai.com/pdf/67869394-cb91-4c12-888c-5cbd85c7814c/OpenAI-Hugging-Face%20Incident-Technical-Report.pdf""><span>Post-incident</span></a> <a href=""https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/""><span>reports</span></a><span> show that the Hugging Face incident could have been mitigated or prevented by following longstanding cybersecurity best practices, like stronger sandboxing and monitoring. Any new legislation should focus on closing gaps in existing law to prevent AI companies from taking unreasonable risks with the public's security.</span></p>
<p><span>When an AI developer or deployer runs a test or a task that has a high likelihood of causing harm to third parties—for instance, by breaking into someone else's computers—there should be clear minimum safety requirements. Such tests should run in a properly sandboxed test environment, disconnected from other systems, and be monitored and logged. Following these fundamental best practices would have prevented or substantially mitigated all of the incidents at AI labs that we currently know about.</span></p>
<p><span>That said, any proposal must be flexible enough to evolve with changing technology. Minimum safety requirements specific only to current AI technologies are likely to become obsolete; legal standards tied to well-established cybersecurity best practices are far more likely to stand the test of time. Tying any new mandates to evidence-backed security protocols also protects the public without impeding future AI development.</span></p>
<p><span>Strong legislation should also mandate and fund independent third-party investigations into any serious security incidents that may occur during AI labs’ tests of new tools, and make reports of these investigations available to the public. This important transparency measure would go a long way toward providing public oversight of the industry.</span></p>
<p><span>As with any technology regulation, those targeting cybersecurity practices at AI labs must be </span><a href=""https://www.eff.org/deeplinks/2023/07/generative-ai-policy-must-be-precise-careful-and-practical-how-cut-through-hype""><span>careful, precise, and practical</span></a><span>. </span></p>

</div></div></div>",https://www.eff.org/deeplinks/2026/09/eff-lawmakers-ground-ai-cybersecurity-rules-best-practices,2026-09-18T01:16:10+00:00,2026-09-18,2026-09-18T14:49:41.646471+00:00,0.9849,positive,0.136,0.04,0.824,['transparency'],neutral/mixed
d55b707e1a7e,EFF DeepLinks,news,Victory! Appeals Court Rejects Expansive New Copyright Claim,"<div class=""field field--name-body field--type-text-with-summary field--label-hidden""><div class=""field__items""><div class=""field__item even""><p><span> </span><span>The U.S. Court of Appeals for the Ninth Circuit handed internet users and programmers a big win today, by rejecting an attempt to stretch a narrow provision of the Digital Millennium Copyright Act (DMCA) into a new source of copyright liability. </span><span> </span></p>
<p><span>The case involves Section 1202 of the DMCA, which prohibits intentionally removing copyright management information (CMI) like an author’s name or a copyright notice, from a copyrighted work. Open AI and Microsoft used code from Github as part of the training data for their LLMs, along with billions of other works. A group of anonymous Github contributors sued, alleging the new code coming out of these LLMs was similar to theirs—but with the CMI stripped out. </span><span> </span></p>
<p><span>The Ninth Circuit correctly agreed with </span><a href=""https://www.eff.org/deeplinks/2025/07/eff-court-dmca-didnt-create-new-right-attribution-you-shouldnt-either-0""><span>what we said</span></a><span> in our </span><a href=""https://www.eff.org/files/2025/07/18/077.1_eff_and_public_knowledge_amicus.pdf""><span>brief</span></a><span>: </span><span>removing copyright information from a copyrighted work is fundamentally different from creating a new work that didn't have CMI in the first place. Section 1202 of the Digital Millennium Copyright Act was intended to serve as a backstop for traditional copyrights in the digital age—not to create a new, more expansive right to inhibit otherwise non-infringing uses.</span><span> </span></p>
<p><span>As we also explained, accepting the Does’ theory would have created a brand-new source of liability for otherwise perfectly lawful activities, undermining creativity and innovation far beyond the specific context of AI development. Copyright holders would be able to file costly lawsuits against all kinds of legitimate users, such as artists making remixes based on older works, teachers adapting works for a classroom presentation, engineers reverse engineering code to understand it better, and search engines that help us all navigate the web. The risks would have fallen especially hard on independent software developers and other small creators. Large companies can afford to litigate these claims in federal court for years, if necessary. But an independent programmer facing massive statutory damages may simply have to settle, even when their underlying use is completely lawful. That’s why EFF fights to make sure courts don’t expand copyright beyond what Congress authorized. </span><span> </span></p>
<p><span>Copyright law still protects programmers when their work is unlawfully copied. They can still bring copyright infringement claims if someone uses a model to reproduce their code. Additionally, the plaintiffs’ contract claims against the AI companies are still in play. The specific holding here was narrow but important: that the absence of copyright information from a new work does not mean, by itself, that someone illegally removed it. </span><span> </span></p>
<p><span>That’s the correct result. New technologies will keep raising hard questions about copyright. Courts should answer those questions by applying the rights that Congress actually authorized, not by inventing new rights that could harm expression and lawful use for everyone. </span><span> </span></p>
<p><span>Additional Reading: </span><span> </span></p>
<ul>
<li><a href=""https://www.eff.org/files/2026/09/16/doe_v_github.pdf""><span>9</span><span>th</span></a><span><a href=""https://www.eff.org/files/2026/09/16/doe_v_github.pdf""> Circuit Opinion</a> in Doe v. GitHub</span><span> </span></li>
<li><a href=""https://www.eff.org/files/2025/07/18/077.1_eff_and_public_knowledge_amicus.pdf"">EFF’s Amicus Brief</a> in Doe v. GitHub<span> </span></li>
</ul>

</div></div></div>",https://www.eff.org/deeplinks/2026/09/victory-appeals-court-rejects-expansive-new-copyright-claim,2026-09-16T22:47:35+00:00,2026-09-16,2026-09-18T14:49:41.646754+00:00,0.2836,positive,0.074,0.069,0.857,"['us_legislation', 'copyright_ip']",pro-regulation
e4cb0883b7e4,EFF DeepLinks,news,EFF Welcomes Alexander Macgillivray to its Board of Directors,"<div class=""field field--name-body field--type-text-with-summary field--label-hidden""><div class=""field__items""><div class=""field__item even""><p>The Electronic Frontier Foundation (EFF) is honored to announce today that <a href=""https://www.eff.org/about/staff/alexander-amac-macgillivray"" rel=""noopener noreferrer"" target=""_blank"">Alexander <span>“</span>amac<span>”</span> Macgillivray</a> — a former White House official who also served in top legal capacities at Twitter and Google — has joined EFF’s Board of Directors. </p>
<p>Macgillivray <span><a href=""https://fedscoop.com/former-obama-administration-tech-policy-leader-joins-white-house-ostp/"" rel=""noopener noreferrer"" target=""_blank"">served in the Biden Administration</a></span> as Deputy Assistant to the President and Principal Deputy U.S. Chief Technology Officer in the Office of Science and Technology Policy, and earlier had held a similar position in the Obama Administration.<span> Macgillivray was one of the co-authors of the Biden Administration’s Blueprint for an AI Bill of Rights and oversaw many of the Administration’s AI initiatives, such as organizing its AI CEO convening, leading its working group on federal AI policy, and overseeing the creation of the National AI Research and Development Strategic Plan and National AI Research Resource.</span> </p>

<p>He was Twitter's General Counsel from 2009 to 2013, leading the Corporate Development, Public Policy, Communications, and Trust &amp; Safety teams. Before that he was Deputy General Counsel at Google from 2003 to 2009, where he created the Product Counsel team.  </p>
<p><span>“One of the things I am currently focused on is positively impacting AI development,” Macgillivray said. “The EFF is uniquely situated for that purpose because it combines top-notch legal, technical and advocacy staff with a long history of fighting for people’s rights while encouraging the positive development of technology. I’m thrilled to be joining the board.”</span></p>
<p>Macgillivray joins a dynamic <span><a href=""https://www.eff.org/about/board"" rel=""noopener noreferrer"" target=""_blank"">EFF Board</a></span> led by Board Chair Gigi Sohn and Vice Chair Brian Behlendorf, and including fellow Board Members Erica Astrella, Anil Dash, Sarah Deutsch, Tadayoshi Kohno, Pamela Samuelson, Bruce Schneier, James Vasile, Tarah Wheeler, and Jonathan Zittrain.</p>
<p>“The EFF Board is thrilled to have Alex join our ranks,<span>”</span> Sohn said. <span>“</span>I’ve worked with Alex for over two decades and have always been impressed not only with his intelligence and grace, but also his ability to think outside the box. His deep experience with non-profit boards will be invaluable as EFF enters a new and exciting chapter.”</p>
<p>Macgillivray currently also serves on the boards of <span><a href=""https://www.trustandsafetyfoundation.org/"" rel=""noopener noreferrer"" target=""_blank"">The Trust &amp; Safety Foundation</a>, <a href=""https://tspa.org/"" rel=""noopener noreferrer"" target=""_blank"">The Trust &amp; Safety Professional Association</a> and <a href=""https://public.resource.org/"" rel=""noopener noreferrer"" target=""_blank"">Public Resource</a>.</span> He is an affiliate at the <span><a href=""https://cyber.harvard.edu/"" rel=""noopener noreferrer"" target=""_blank"">Berkman Klein Center for Internet &amp; Society at Harvard University</a></span>. Macgillivray earned a law degree from Harvard<span>, </span>a bachelor’s degree in Reasoning &amp; Decision Making from Princeton University<span>, and a New Jersey Teaching Certificate</span>. </p>
<p>“The vanguard leadership of EFF Board members to ensure technology supports rights, justice, freedom, and innovation for all people has never been more critical,<span>”</span> EFF Executive Director Nicole Ozer said. <span>“</span>Many of the threats that once seemed hypothetical are now reality and the work of our EFF community is fundamental to the future of our countries, our livelihoods, and literally our lives. I feel fortunate to have amac join as a Board member as I begin my tenure as Executive Director. His diverse expertise will be invaluable to make sure that EFF is stronger than ever to meet this moment.” </p>
<p>Members of the Board of Directors ensure the managerial and financial health of the organization.  EFF is the leading nonprofit organization defending civil liberties in the digital world. <a href=""https://www.eff.org/issues/ai"" rel=""noopener noreferrer"" target=""_blank"">Learn more about our cutting-edge work on AI issues</a>, and please donate today to help keep us fighting for a brighter digital future.</p>
<p class=""take-action""><a href=""https://supporters.eff.org/donate/amac-form--bdaa"" rel=""noopener noreferrer"" target=""_blank"" title=""Donate to EFF""><span>Donate to EFF</span></a></p>
<p class=""take-explainer""></p>

</div></div></div>",https://www.eff.org/deeplinks/2026/09/eff-welcomes-alexander-macgillivray-its-board-directors,2026-09-16T16:36:37+00:00,2026-09-16,2026-09-18T14:49:41.647235+00:00,0.9894,positive,0.126,0.004,0.87,"['healthcare', 'national_security']",neutral/mixed
